SYMBOL	COMPANY
786	786 Investments Limited
AABS	Al-Abbas Sugar Mills Limited
AAL	Agro Allianz Limited
AASM	Al-Abid Silk Mills Limited
AATM	Ali Asghar Textile Mills Limited
ABL	Allied Bank Limited
ABOT	Abbott Laboratories (Pakistan) Limited
ABSON	Abson Industries Limited
ACPL	Attock Cement Pakistan Limited
ADAMS	Adam Sugar Mills Limited
ADMM	Artistic Denim Mills Limited
AGHA	Agha Steel Ind.Ltd
AGIC	Askari General Insurance Company Limited
AGIL	Agriauto Industries Limited
AGL	Agritech Limited
AGLNCPS	Agritech Non-Voting (Pref) Class A
AGP	AGP Limited
AGSML	Abdullah Shah Ghazi Sugar Mills Limited
AGTL	Al-Ghazi Tractors Limited
AHCL	Arif Habib Corporation Limited
AHL	Arif Habib Limited
AHTM	Ahmad Hassan Textile Mills Limited
AICL	Adamjee Insurance Company Limited
AIRLINK	Air Link Communication Limited
AKBL	Askari Bank Limited
AKDHL	AKD Hospitality Limited
AKDSL	AKD Securities Limited
AKGL	Al-Khair Gadoon Limited
ALAC	Askari Life Assurance Company Limited
ALIFE	Adamjee Life Assurance Company Limited
ALNRS	Al-Noor Sugar Mills Limited
ALTN	Altern Energy Limited
AMBL	Apna Microfinance Bank Limited
AMSL	Al-Mal Securities & Services Limited
AMTEX	Amtex Limited
ANL	Azgard Nine Limited
ANLNV	Azgard Nine Non-Voting Ordinary Shares
ANLPS	Azgard Nine 8.95%(Pref)
ANNT	Annoor Textile Mills Limited
ANSM	Ansari Sugar Mills Limited
ANTM	AN Textile Mills Limited
APL	Attock Petroleum Limited
APOT	Apollo Textile Mills Limited
ARCTM	Arctic Textile Mills Limited
ARMG	ARM Green Industries Limited
ARPAK	Arpak International Investments Ltd.
ARPL	Archroma Pakistan Limited
ARUJ	Aruj Industries Limited
ASC	Al Shaheer Corporation Limited
ASHT	Ashfaq Textile Mills Limited
ASIC	Asia Insurance Company Limited
ASL	Aisha Steel Mills Limited
ASLCPS	Aisha Steel Convt (Pref) Right
ASLPS	Aisha Steel Convertible (Pref)
ASTL	Amreli Steels Limited
ASTM	Asim Textile Mills Limited
ATBA	Atlas Battery Limited
ATIL	Atlas Insurance Limited
ATLH	Atlas Honda Limited
ATRL	Attock Refinery Limited
AVN	Avanceon Limited
AWTX	Allawasaya Tex. & Finishing Mills Ltd
AZMT	Azmat Textile Mills Limited
BAFL	Bank Alfalah Limited
BAFS	Baba Farid Sugar Mills Limited
BAHL	Bank AL Habib Limited
BAPL	Bawany Air Products Limited
BATA	Bata Pakistan Limited
BBFL	Big Bird Foods Limited
BCL	Bolan Castings Limited
BECO	Beco Steel Limited
BELA	Bela Automotives Limited
BERG	Berger Paints Pakistan Limited
BFAGRO	Barkat Frisian Agro Limited
BFBIO	BF Biosciences Limited
BFMOD	B.F. Modaraba
BGL	Baluchistan Glass Limited
BHAT	Bhanero Textile Mills Limited
BIFO	Biafo Industries Limited
BIIC	Business & Industrial Insurance Company
BIPL	BankIslami Pakistan Limited
BLUEX	Blue-Ex Limited
BML	Bank Makramah Limited
BNL	Bunnys Limited
BNWM	Bannu Woollen Mills Limited
BOK	The Bank of Khyber
BOP	The Bank of Punjab
BPL	Burshane LPG (Pakistan) Limited
BRRG	B.R.R Guardian Limited
BTL	Blessed Textiles Limited
BUXL	Buxly Paints Limited
BWCL	Bestway Cement Limited
BWHL	Baluchistan Wheels Limited
CCM	Crescent Cotton Mills Limited
CENI	Century Insurance Company Limited
CEPB	Century Paper & Board Mills Limited
CFL	Crescent Fibres Limited
CHAS	Chashma Sugar Mills Limited
CHBL	Chenab Limited
CHCC	Cherat Cement Company Limited
CJPL	Crescent Jute Products Limited
CLCPS	Chenab Limited (Pref)
CLOV	Clover Pakistan Limited
CLVL	Cordoba Logistics & Ventures Limited
CNERGY	Cnergyico PK  Limited
COLG	Colgate-Palmolive (Pakistan) Limited
CPHL	Citi Pharma Ltd.
CPPL	Cherat Packaging Limited
CRTM	The Crescent Textile Mills Limited
CSAP	Crescent Steel & Allied Products Limited
CSIL	Crescent Star Insurance Limited
CTM	Colony Textile Mills Limited
DAAG	Data Agro Limited
DADX	Dadex Eternit Limited
DBCI	Dadabhoy Cement Industries Limited
DBSL	Dadabhoy Sack Limited
DCL	Dewan Cement Limited
DCR	Dolmen City REIT
DCTL	Dadabhoy Construction Technology Limited
DEL	Dawood Equities Limited
DFML	Dewan Farooque Motors Limited
DFSM	Dewan Farooque Spinning Mills Limited
DGKC	D.G. Khan Cement Company Limited
DIIL	Diamond Industries Limited
DINT	Din Textile Mills Limited
DKTM	Dewan Khalid Textile Mills Limited
DLL	Dawood Lawrencepur Limited
DMC	D.M. Corporation Limited.
DMTM	Dewan Mushtaq Textile Mills Limited
DNCC	Dandot Cement Company Limited
DOL	Descon Oxychem Limited
DSFL	Dewan Salman Fibre Limited
DSIL	D.S. Industries Limited
DSL	Dost Steels Limited
DWAE	Dewan Automotive Engineering Limited
DWSM	Dewan Sugar Mills Limited
DWTM	Dewan Textile Mills Limited
DYNO	Dynea Pakistan Limited
ECOP	Ecopack Limited
EFERT	Engro Fertilizers Limited
EFUG	EFU General Insurance Limited
EFUL	EFU Life Assurance Limited
ELCM	Elahi Cotton Mills Limited
ELSM	Ellcot Spinning Mills Limited
EMCO	Emco Industries Limited
ENGL	English Leasing Limited
ENGROH	Engro Holdings Limited
EPCL	Engro Polymer & Chemicals Limited
EPCLPS	Engro Poly(Pref)
EPQL	Engro Powergen Qadirpur Limited
ESBL	Escorts Investment Bank Limited
EWIC	East West Insurance Company Limited
EXIDE	Exide Pakistan Limited
FABL	Faysal Bank Limited
FAEL	Fatima Enterprises Limited
FANM	First Al-Noor Modaraba
FASM	Faisal Spinning Mills Limited
FATIMA	Fatima Fertilizer Company Limited
FCCL	Fauji Cement Company Limited
FCEL	First Capital Equities Limited
FCEPL	Frieslandcampina Engro Pakistan Limited
FCIBL	First Credit and Investment Bank Limited
FCL	Fast Cables Limited
FCONM	First Constellation Modaraba
FCSC	First Capital Securities Corporation
FDPL	First Dawood Properties Limited
FECM	First Elite Capital Modaraba
FECTC	Fecto Cement Limited
FEM	First Equity Modaraba
FEROZ	Ferozsons Laboratories Limited
FFC	Fauji Fertilizer Company Limited
FFL	Fauji Foods Limited
FFLM	First Fidelity Leasing Modaraba
FHAM	First Habib Modaraba
FIBLM	First IBL Modaraba
FIL	Fateh Industries Limited
FIM	First Investec Modaraba
FIMM	First Imrooz Modaraba
FLYNG	Flying Cement Company Limited
FML	Feroze1888 Mills Limited
FNBM	First National Bank Modaraba
FNEL	First National Equities Limited
FPJM	First Punjab Modaraba
FPRM	First Paramount Modaraba
FRCL	Frontier Ceramics Limited
FRSM	Faran Sugar Mills Limited
FSWL	Fateh Sports Wear Limited
FTHM	Fateh Textile Mills Limited
FTMM	First Treet Manufacturing Modaraba
FTSM	First Tri-Star Modaraba
FZCM	Fazal Cloth Mills Limited
GADT	Gadoon Textile Mills Limited
GAL	Ghandhara Automobiles Limited
GAMON	Gammon Pakistan Limited
GATI	Gatron (Industries) Limited
GATM	Gul Ahmed Textile Mills Limited
GCIL	Ghani Chemical Industries Limited
GCWL	Ghani Chemworld Limited
GDL	Ghani Dairies Limited
GEMBCEM	Burj Clean Energy Modaraba(GEM)
GEMMEL	Mughal Energy Limited(GEM)
GEMNETS	Nets International Communication Limited
GEMPACRA	The Pakistan Credit Rating Agency Ltd
GEMPAPL	Pak Agro Packaging Limited(GEM)
GFIL	Ghazi Fabrics International Limited
GGGL	Ghani Global Glass Limited
GGL	Ghani Global Holdings Limited
GHGL	Ghani Glass Limited
GHNI	Ghandhara Industries Limited
GIL	Good Luck Industries Ltd.
GLAXO	GlaxoSmithKline Pakistan Limited
GLOT	Globe Textile Mills Limited
GLPL	Gillette Pakistan Limited
GOC	GOC (Pak) Limited.
GRR	Globe Residency REIT
GRYL	Grays Leasing Limited
GSPM	Gulshan Spinning Mills Limited
GTYR	Ghandhara Tyre & Rubber Company Limited
GUSM	Gulistan Spinning Mills Limited
GUTM	Gulistan Textile Mills Limited
GVGL	Ghani Value Glass Limited
GWLC	Gharibwal Cement Limited
HABSM	Habib Sugar Mills Limited
HADC	Haydari Construction Company Limited
HAEL	Hala Enterprises Limited
HAFL	Hafiz Limited
HAJT	Hajra Textile Mills Limited
HALEON	Haleon Pakistan Limited
HASCOL	Hascol Petroleum Limited
HATM	Hamid Textile Mills Limited
HBL	Habib Bank Limited
HCAR	Honda Atlas Cars (Pakistan) Limited
HGFA	HBL Growth Fund
HICL	Habib Insurance Company Limited
HIFA	HBL Investment Fund
HINO	Hinopak Motors Limited
HINOON	Highnoon Laboratories Limited
HIRAT	Hira Textile Mills Limited
HKKT	Hakkim Textile Mills Limited
HMB	Habib Metropolitan Bank Limited
HMIM	Haji Mohammad Ismail Mills Limited
